County,Radionuclide
Ain,"{' 54Mn', ' 154Eu', ' 58Co', ' 44Ti', ' 22Na', '54Mn', ' 152Eu', ' 63Ni', ' 110mAg', ' 56Co', ' 57Co', ' 137Cs', ' 55Fe', ' 18F', ' 51Cr', ' 60Co', ' 65Zn', '3H'}"
Aisne,"{'111In', '18F', '123I', '99Mo', '201Tl', '67Ga', '99mTc'}"
Alpes-Maritimes,"{'90Y', '18F', ' 232Th', '123I', '60Co', '99Mo', ' 152Eu', ' U', ' 137Cs', ' 239Pu', ' 209Po', '169Er', '99mTc', ' 241Am'}"
Ardennes,"{'131I', ' 58Co', '111In', '123I', '54Mn', '201Tl', ' 110mAg', '67Ga', ' 137Cs', ' 60Co', ' 65Zn', '99mTc'}"
Ardèche,"{' 58Co', '54Mn', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn'}"
Aube,"{'90Y', '131I', ' 58Co', '111In', '18F', '123I', ' 56Co', '54Mn', ' 110mAg', ' 57Co', ' 137Cs', ' 51Cr', ' 60Co', ' 65Zn', '99mTc'}"
Aude,"{'111In', ' 232Th', '201Tl', '235U', '99Tc', ' 242Pu', '131I', ' 237Np', '99mTc', ' 110mAg', ' 234U', '67Ga', ' 239Pu', ' 227Th', ' 238U', ' 243Am', ' 241Am', ' 226Ra', ' 58Co', '123I', '60Co', ' 241Pu', ' 137Cs'}"
Bas-Rhin,"{'111In', '18F', ' 232Th', '54Mn', '201Tl', '137Cs', ' 41Ca', ' 55Fe', '131I', ' 52Mn', ' 88Y', '99mTc', ' 152Eu', ' 235U', '67Ga', ' 57Co', ' 238U', '3H', ' 133Ba', ' 241Am', ' 58Co', '123I', ' 56Co', '177Lu', ' 60Co'}"
Bouches-du-Rhône,"{'111In', '18F', ' 63Ni', '201Tl', ' 228Ra', '55Fe', '131I', ' 213Bi', '99mTc', ' 110mAg', '204Tl', '67Ga', '68Ga', ' 58Co', '123I', '177Lu', ' 137Cs', ' Th', ' 60Co', '125I', ' 227Ac', ' 210Pb'}"
Calvados,"{'44Ti', '111In', '18F', '54Mn', '201Tl', ' 53Mn', ' 55Fe', '131I', ' 59Fe', ' 22Na', '22Na', ' 65Zn', '99mTc', '32P', ' 54Mn', '67Ga', ' 57Co', ' 44Ti', '3H', ' 133Ba', ' 58Co', '123I', ' 56Co', '177Lu', ' 60Co'}"
Charente-Maritime,"{'131I', '111In', '18F', '123I', '67Ga', '99mTc'}"
Cher,"{' 58Co', '54Mn', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn'}"
Corrèze,"{' 131I', '54Mn', '60Co', ' 134Cs', ' 57Co', ' 137Cs', ' 85Sr', ' 65Zn', ' 210Pb', ' 241Am'}"
Côte-d'Or,"{'90Y', '68Ga', '131I', '111In', '123I', '201Tl', '177Lu', '99mTc'}"
Côtes-d'Armor,"{'131I', '111In', '123I', '201Tl', '67Ga', '99mTc'}"
Doubs,"{'131I', '111In', '123I', '177Lu', '125I', '99mTc'}"
Drôme,"{'131I', ' 58Co', '111In', '18F', '123I', '54Mn', '201Tl', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn', '99mTc'}"
Essonne,"{' 154Eu', '111In', ' 232Th', ' 63Ni', '54Mn', '201Tl', '137Cs', ' 232U', '55Fe', ' U', ' 249Cf', '226Ra', ' 55Fe', '131I', ' 237Np', ' 155Eu', '10Be', ' Am', ' 65Zn', ' 181W', '99mTc', ' 54Mn', ' 182Ta', ' 228Th', ' 152Eu', '40K', ' Pu', ' 110mAg', ' 141Ce', ' 235U', '67Ga', ' 57Co', ' 109Cd', ' 238U', ' 252Cf', '3H', ' 133Ba', ' 99Tc', ' 241Am', ' 231Pa', ' 226Ra', ' 233U', ' 238Pu', '123I', ' 90Sr', '60Co', ' 56Co', ' 229Th', ' 137Cs', ' 14C', ' 51Cr', ' Th', ' 60Co', ' 210Pb', '14C'}"
Finistère,"{' 226Ra', '68Ga', '131I', '18F', '123I', '90Sr', '177Lu', ' 234U', ' 235U', '99mTc', ' 210Pb', ' 210Po'}"
Gard,"{'18F', ' 63Ni', '54Mn', '55Fe', '235U', ' 55Fe', '131I', ' 151Sm', ' 65Zn', '99mTc', '90Y', ' 110mAg', ' 240Pu', ' 57Co', ' 239Pu', ' 238U', '3H', ' 99Tc', ' 183Re', ' 241Am', ' 58Co', ' 238Pu', '123I', ' 90Sr', '60Co', ' 56Co', '177Lu', ' 14C', ' 137Cs', ' 51Cr', ' 60Co'}"
Gironde,"{'111In', '18F', ' 232Th', '54Mn', '131I', ' 85Kr', ' 65Zn', '99mTc', '90Y', ' 110mAg', '67Ga', ' 57Co', ' 109Cd', '3H', ' 183Re', ' 226Ra', '68Ga', ' 58Co', '123I', ' 56Co', '177Lu', ' 137Cs', ' 51Cr', ' 60Co', '125I'}"
Haut-Rhin,"{' 198Au', '131I', ' 58Co', '111In', ' 182Ta', '123I', '54Mn', '99Mo', '201Tl', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn', ' 181W', '99mTc'}"
Haute-Garonne,"{' 226Ra', '68Ga', '131I', '111In', '18F', '90Y', '123I', '60Co', '201Tl', '177Lu', ' U', ' 137Cs', ' Th', ' Am', '51Cr', '125I', '99mTc'}"
Haute-Loire,"{'131I', '111In', '123I', '201Tl', '67Ga', '99mTc'}"
Haute-Marne,"{'131I', '111In', '99mTc', '123I', '201Tl', '153Sm'}"
Haute-Vienne,"{' 226Ra', '131I', '90Y', '18F', '123I', '90Sr', ' 208Po', ' 232U', '68Ge', ' 239Pu', '99mTc', ' 210Pb'}"
Hautes-Pyrénées,"{'131I', '111In', '123I', '201Tl', '125I', '99mTc'}"
Hauts-de-Seine,"{' 154Eu', '111In', '18F', ' 232Th', ' 63Ni', '54Mn', '201Tl', ' 230Th', ' U', ' 108mAg', '99Tc', ' 55Fe', '131I', ' 237Np', ' 22Na', '90Sr', ' 40K', ' 204Tl', '99mTc', '90Y', '210Pb', ' 152Eu', ' 235U', '67Ga', ' 57Co', ' 109Cd', ' 238U', '3H', ' 133Ba', ' 99Tc', ' 241Am', ' 231Pa', ' 226Ra', '68Ga', ' 36Cl', ' 58Co', ' 238Pu', '123I', ' 90Sr', '60Co', ' 56Co', '177Lu', ' 14C', ' 137Cs', ' 51Cr', ' Th', ' 60Co', ' 210Pb', ' 210Po'}"
Hérault,"{'90Y', '131I', '111In', '18F', ' 59Fe', '123I', '54Mn', '99Mo', '201Tl', '177Lu', ' 60Co', ' 45Ca', ' 46Sc', '226Ra', ' 55Fe', '125I', '99mTc'}"
Ille-et-Vilaine,"{'111In', ' 63Ni', '54Mn', ' 232U', ' 45Ca', ' 55Fe', ' 242Pu', '131I', ' 52Mn', ' 22Na', '90Sr', '153Sm', '99mTc', ' 152Eu', ' 110mAg', ' 57Co', ' 243Am', '3H', ' 133Ba', ' 99Tc', ' 58Co', ' 36Cl', '123I', ' 90Sr', '60Co', ' 56Co', '177Lu', ' 241Pu', ' 14C', ' 137Cs', ' 51Cr', ' 60Co'}"
Indre-et-Loire,"{'111In', '18F', ' 63Ni', '54Mn', '55Fe', ' 55Fe', '57Co', '131I', ' 65Zn', '99mTc', '99Mo', ' 110mAg', '3H', ' 59Ni', '68Ga', ' 58Co', '123I', ' 90Sr', '177Lu', ' 241Pu', ' 14C', ' 137Cs', ' 60Co'}"
Isère,"{'111In', '18F', '54Mn', '201Tl', '131I', ' 22Na', '22Na', ' 65Zn', '99mTc', ' 54Mn', '90Y', ' 110mAg', ' 134Cs', ' 57Co', ' 99Tc', '3H', '68Ga', ' 58Co', '177Lu', ' 14C', ' 137Cs', ' 99mTc', ' 60Co', '125I'}"
La Réunion,"{' 198Au', ' 58Co', ' 56Co', '54Mn', ' 57Co', ' 109Cd', ' 51Cr', ' 65Zn', ' 181W', ' 124Sb'}"
Loir-et-Cher,"{' 58Co', '54Mn', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn'}"
Loire,"{'90Y', '68Ga', '131I', '111In', '18F', '123I', '201Tl', '67Ga', '99mTc'}"
Loire-Atlantique,"{' 83Rb', '111In', '18F', ' 63Ni', ' U', ' 55Fe', '131I', ' 22Na', '22Na', ' 65Zn', '99mTc', ' 54Mn', '90Y', ' 152Eu', ' 57Co', ' 238U', ' 99Tc', '3H', '225Ac', ' 241Am', ' 226Ra', '68Ga', '123I', '60Co', '85Sr', '177Lu', '83Rb', ' 14C', ' 137Cs', ' 60Co', '125I', ' 210Pb'}"
Loiret,"{'111In', '18F', ' 125Sb', '54Mn', '201Tl', ' 108mAg', '131I', '22Na', ' 65Zn', '99mTc', ' 54Mn', ' 228Th', ' 110mAg', ' 57Co', ' 58Co', '123I', ' 137Cs', ' 60Co', ' 210Pb'}"
Lot-et-Garonne,"{'131I', '111In', '123I', '201Tl', '67Ga', '99mTc'}"
Maine-et-Loire,"{'131I', '111In', '18F', '123I', '68Ge', '99mTc'}"
Manche,"{' 154Eu', ' 125Sb', ' 63Ni', '54Mn', '137Cs', ' 106Rh', '55Fe', ' 108mAg', ' 55Fe', ' 242Pu', '90Sr', '238Pu', ' 65Zn', ' 106Ru', '63Ni', ' 110mAg', ' 240Pu', ' 134Cs', ' 239Pu', '3H', ' 241Am', ' 58Co', ' 238Pu', ' 90Sr', '60Co', ' 129I', ' 244Cm', ' 241Pu', ' 14C', ' 137Cs', ' 60Co', ' 147Pm'}"
Marne,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Martinique,"{'131I', '111In', '99mTc', '201Tl', '67Ga', '153Sm'}"
Meurthe-et-Moselle,"{'57Co', '68Ga', ' 54Mn', '131I', '18F', ' 58Co', ' 56Co', '99Mo', '201Tl', '177Lu', '68Ge', ' 57Co', ' 51Cr', '125I', '3H', '99mTc'}"
Monaco?,"{'131I', '18F', ' 237Np', '123I', '90Sr', '177Lu', ' 229Th', ' 235U', '68Ge', ' 137Cs', '99mTc', ' 210Pb'}"
Moselle,"{'131I', ' 58Co', '111In', '18F', '123I', '54Mn', '201Tl', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn', '99mTc'}"
Nièvre,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Nord,"{'111In', '18F', ' 125Sb', '54Mn', '201Tl', '99Tc', '186Re', '131I', ' 65Zn', '153Sm', '99mTc', '90Y', ' 110mAg', ' 134Cs', '67Ga', '51Cr', ' 58Co', '123I', '177Lu', ' 137Cs', ' 60Co'}"
Paris,"{'111In', '18F', ' 232Th', '54Mn', '201Tl', ' 230Th', '131I', '169Er', ' 181W', '99mTc', '90Y', ' 234U', ' 57Co', ' 109Cd', ' 238U', '3H', ' 241Am', ' 226Ra', '68Ga', ' 58Co', '123I', ' 56Co', '60Co', '177Lu', ' 14C', ' 137Cs', ' 51Cr', ' 122Sb', '125I', ' 210Pb', ' 124Sb'}"
Pas-de-Calais,"{'131I', ' 58Co', '111In', '18F', '99mTc', '123I', ' 56Co', '54Mn', '201Tl', '67Ga', ' 109Cd', ' 51Cr', ' 60Co', '153Sm'}"
Puy-de-Dôme,"{'131I', '18F', '123I', '177Lu', '125I', '99mTc'}"
Pyrénées-Atlantiques,"{'131I', '18F', '123I', '201Tl', '67Ga', '99mTc'}"
Pyrénées-Orientales,"{'90Y', '111In', '18F', '123I', '201Tl', '99mTc'}"
Rhône,"{'111In', '18F', ' 232Th', ' 63Ni', '201Tl', ' 153Gd', '137Cs', ' U', '131I', ' 125I', '99mTc', '90Y', ' 234U', ' 235U', ' 109Cd', ' 238U', '3H', ' 226Ra', '123I', '60Co', '177Lu', ' 14C', ' 137Cs', ' 210Pb'}"
Sarthe,"{'131I', '111In', '123I', '99Mo', '201Tl', '99mTc'}"
Savoie,"{'131I', '111In', '18F', '99mTc', '123I', '153Sm'}"
Saône-et-Loire,"{'131I', '111In', '123I', '201Tl', '67Ga', '99mTc'}"
Seine-Maritime,"{'90Y', '131I', ' 58Co', '18F', '123I', '54Mn', '177Lu', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn', '99mTc'}"
Seine-Saint-Denis,"{'111In', '18F', '123I', '201Tl', '125I', '99mTc'}"
Somme,"{'131I', '111In', '18F', '123I', '99Mo', '201Tl', '67Ga', '125I', '99mTc'}"
Tarn,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Tarn-et-Garonne,"{' 58Co', '54Mn', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn'}"
Territoire de Belfort,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Val-d'Oise,"{' 183Re', '131I', ' 58Co', '111In', '18F', '123I', ' 56Co', ' 57Co', '67Ga', ' 51Cr', '3H', '99mTc'}"
Val-de-Marne,"{'111In', '18F', '201Tl', '131I', '90Sr', '99mTc', ' 235U', '67Ga', ' 239Pu', ' 240Pu', ' 238U', '3H', ' 133Ba', ' 241Am', ' 226Ra', '123I', '177Lu', ' 137Cs', ' 60Co'}"
Var,"{'90Y', '131I', '111In', '18F', '123I', '99mTc'}"
Vaucluse,"{' 154Eu', ' 90Y', ' 125Sb', ' 63Ni', '54Mn', '137Cs', '55Fe', ' U', ' 55Fe', ' 242Pu', '90Sr', ' Am', ' 65Zn', ' 106Ru', ' Pu', ' 110mAg', ' 234U', ' 240Pu', ' 57Co', ' 239Pu', ' 134Cs', '3H', ' 241Am', ' 58Co', ' 238Pu', ' 56Co', ' 90Sr', '60Co', ' 129I', ' 95Zr', ' 244Cm', ' 241Pu', ' 137Cs', ' 60Co'}"
Vendée,"{'90Y', '131I', '111In', '18F', '123I', '99mTc'}"
Vienne,"{'90Y', '131I', ' 58Co', '111In', '123I', '54Mn', '177Lu', ' 110mAg', ' 137Cs', ' 60Co', ' 65Zn', '99mTc'}"
Yonne,"{'131I', '111In', '18F', '123I', '201Tl', '99mTc'}"
Yvelines,"{'111In', '18F', ' 232Th', '201Tl', ' U', ' Po', '131I', ' Am', '99mTc', ' Pu', '3H', ' 133Ba', ' 226Ra', '123I', ' 90Sr', '60Co', ' 14C', ' 137Cs', ' Th'}"
